MARKER1,MARKER2,SD,MISSING,APER,BPER,ABPER
1,56,1.372881356,7,22.0,23.7,54.2
2,58,5.037267081,23,17.4,26.7,55.9
3,71,2.1375,24,28.8,20.6,50.6
4,102,19.12987013,30,29.9,9.7,60.4
5,205,2.098265896,11,22.5,22.0,55.5
6,232,2.920529801,33,28.5,19.2,52.3
7,248,5.083832335,17,18.0,29.9,52.1
8,354,0.668639053,15,24.9,22.5,52.7
9,356,0.707602339,13,25.7,22.2,52.0
10,368,8.016949153,7,15.8,28.8,55.4
11,405,0.653846154,28,27.6,23.1,49.4
12,407,11.47741935,29,16.1,20.6,63.2
13,437,0.904761905,16,23.8,22.6,53.6
14,471,2.805714286,9,20.6,23.4,56.0
15,494,2.157894737,13,29.8,22.8,47.4
16,539,4.4,4,20.6,21.7,57.8
17,551,6.898876404,6,18.5,21.9,59.6
18,552,0.965116279,12,22.1,27.3,50.6
19,630,3.6,24,21.3,21.3,57.5
20,661,0.337278107,15,25.4,23.1,51.5
21,679,8.844155844,30,24.0,15.6,60.4
22,684,1.068571429,9,22.3,24.0,53.7
23,696,5.337209302,12,19.8,21.5,58.7
24,741,6.972972973,36,20.3,18.9,60.8
25,792,0.842424242,19,24.2,22.4,53.3
26,822,10.62921348,6,16.9,21.3,61.8
27,929,6.628742515,17,19.2,21.0,59.9
28,948,0.136363636,8,23.9,25.0,51.1
29,949,0.683544304,26,22.8,24.1,53.2
30,965,1.01183432,15,27.2,21.9,50.9
31,968,9.646706587,17,35.3,20.4,44.3
32,977,2.852272727,8,21.0,22.7,56.3
33,991,2.222222222,4,22.2,22.2,55.6
34,1055,1.036144578,18,21.7,25.3,53.0
35,1091,1.013513514,36,25.0,21.6,53.4
36,1099,7.727272727,19,21.2,18.2,60.6
37,1122,4.454545455,8,21.0,21.0,58.0
38,1130,2.236363636,19,27.3,20.0,52.7
39,1178,0.72,34,28.0,24.0,48.0
40,1227,8.367231638,7,24.3,16.4,59.3
41,1298,0.936305732,27,26.1,21.7,52.2
42,1321,4.71257485,17,18.6,24.0,57.5
43,1369,7.223529412,14,21.8,18.2,60.0
44,1377,2.453488372,12,20.3,24.4,55.2
45,1394,3.6375,24,30.0,19.4,50.6
46,1425,8.097560976,20,20.7,18.3,61.0
47,1436,5.603351955,5,18.4,23.5,58.1
48,1446,5.490566038,25,17.0,28.3,54.7
49,1492,1.026845638,35,21.5,25.5,53.0
50,1496,41.67096774,29,3.2,27.1,69.7
51,1510,2.571428571,16,23.2,20.8,56.0
52,1526,0.699346405,31,22.2,26.8,51.0
53,1565,3.789473684,32,21.1,21.1,57.9
54,1627,0.462857143,9,25.1,22.9,52.0
55,1635,4.298850575,10,23.0,19.5,57.5
56,1654,2.552795031,23,23.6,20.5,55.9
57,1664,3.770949721,5,22.9,20.1,57.0
58,1665,1.63803681,21,20.9,25.2,54.0
59,1678,2.324324324,36,26.4,19.6,54.1
60,1684,2.428571429,16,28.6,20.2,51.2
61,1708,11.15189873,26,21.5,15.8,62.7
62,1789,0.355263158,32,23.0,26.3,50.7
63,1800,4.102040816,37,24.5,18.4,57.1
64,1843,1.93081761,25,23.3,21.4,55.3
65,1877,5.902857143,9,22.3,18.9,58.9
66,1904,4.37037037,22,19.8,22.2,58.0
67,2145,6.85620915,31,30.7,16.3,52.9
68,2223,2,18,21.7,22.9,55.4
69,2339,9.988235294,14,17.1,21.2,61.8
70,2345,47.64444444,4,33.9,2.8,63.3
71,2348,26.70238095,16,31.0,7.7,61.3
72,2369,6.607843137,31,18.3,21.6,60.1
73,2371,3.619354839,29,18.7,25.2,56.1
74,2407,1.490066225,33,22.5,22.5,55.0
75,2436,1.437869822,15,28.4,21.9,49.7
76,2465,4.892215569,17,25.1,18.0,56.9
77,2477,0.647058824,31,25.5,22.2,52.3
78,2478,1.062111801,23,24.8,21.7,53.4
79,2487,4.636363636,8,19.9,22.2,58.0
80,2517,0.858823529,14,22.9,23.5,53.5
81,2519,6.039473684,32,19.1,21.1,59.9
82,2585,2.403726708,23,19.9,25.5,54.7
83,2589,1.943181818,8,21.6,23.3,55.1
84,2591,3.944785276,21,22.1,20.2,57.7
85,2593,0.86163522,25,22.0,27.0,50.9
86,2599,3.619354839,29,18.7,25.2,56.1
87,2607,3.941860465,12,20.9,21.5,57.6
88,2611,7.375757576,19,17.6,22.4,60.0
89,2616,7.379310345,10,17.8,22.4,59.8
90,2630,2.324324324,36,19.6,26.4,54.1
91,2636,3.438202247,6,19.7,24.2,56.2
92,2661,3.142857143,30,21.4,21.4,57.1
93,2754,5.898734177,26,21.5,19.0,59.5
94,2760,5.792682927,20,18.9,22.0,59.1
95,2791,3.384615385,28,19.2,24.4,56.4
96,2886,4.029585799,15,27.8,18.3,53.8
97,2936,4.063291139,26,18.4,25.3,56.3
98,2973,2.641618497,11,19.7,26.6,53.8
99,2975,2.6375,24,24.4,20.0,55.6
100,2981,2.714285714,30,22.7,20.8,56.5
101,3043,3.256097561,20,18.9,26.8,54.3
102,3098,3.4375,24,28.1,18.8,53.1
103,3103,0.973333333,34,23.3,22.7,54.0
