MARKER,SD,MISSING
M56,1.372881356,5
M58,5.037267081,18
M71,2.1375,19
M205,2.098265896,8
M232,2.920529801,27
M248,5.083832335,12
M354,0.668639053,10
M356,0.707602339,9
M368,8.016949153,6
M405,0.653846154,23
M407,11.47741935,27
M437,0.904761905,13
M471,2.805714286,7
M494,2.157894737,13
M539,4.4,3
M551,6.898876404,5
M552,0.965116279,8
M630,3.6,19
M661,0.337278107,11
M679,8.844155844,26
M684,1.068571429,6
M696,5.337209302,9
M741,6.972972973,31
M792,0.842424242,16
M822,10.62921348,5
M929,6.628742515,15
M948,0.136363636,6
M949,0.683544304,24
M965,1.01183432,10
M968,9.646706587,16
M977,2.852272727,7
M991,2.222222222,3
M1055,1.036144578,12
M1091,1.013513514,31
M1099,7.727272727,17
M1122,4.454545455,6
M1130,2.236363636,14
M1178,0.72,28
M1227,8.367231638,4
M1298,0.936305732,20
M1321,4.71257485,11
M1369,7.223529412,13
M1377,2.453488372,7
M1394,3.6375,19
M1425,8.097560976,16
M1436,5.603351955,5
M1446,5.490566038,22
M1492,1.026845638,31
M1510,2.571428571,14
M1526,0.699346405,27
M1565,3.789473684,29
M1627,0.462857143,6
M1635,4.298850575,8
M1654,2.552795031,20
M1664,3.770949721,4
M1665,1.63803681,19
M1678,2.324324324,33
M1684,2.428571429,13
M1708,11.15189873,22
M1789,0.355263158,26
M1800,4.102040816,32
M1843,1.93081761,21
M1877,5.902857143,9
M1904,4.37037037,19
M2145,6.85620915,23
M2223,2,13
M2339,9.988235294,9
M2369,6.607843137,25
M2371,3.619354839,25
M2407,1.490066225,28
M2436,1.437869822,14
M2465,4.892215569,12
M2477,0.647058824,27
M2478,1.062111801,19
M2487,4.636363636,7
M2517,0.858823529,12
M2519,6.039473684,30
M2585,2.403726708,19
M2589,1.943181818,7
M2591,3.944785276,17
M2593,0.86163522,22
M2599,3.619354839,25
M2607,3.941860465,8
M2611,7.375757576,17
M2616,7.379310345,9
M2630,2.324324324,33
