"MARKER","POSITION","CHISQUARE","MISSING"
"M34343",0,0.8,10
"M4002",5.62,0.7,3
"M40649",10.01,0.6,14
"M14664",14.72,1.1,5
"M12512",18.97,0.9,1
"M37837",22.2,1.3,19
"M23134",23.73,0.9,28
"M13825",24.65,1.4,2
"M6635",28.98,2.5,9
"M12129",38.11,4.8,4
"M34363",40.2,7.8,13
"M679",50.66,8.8,26
"M17048",52.48,6.2,20
"M7990",55.69,11.9,27
"M11723",58.6,10.8,2
"M1708",62.52,3.3,22
"M32423",71.15,10,4
"M10644",80.03,8.9,14
"M1227",82.21,8.4,4
"M3438",83.93,4.9,11
"M20566",85.51,9.7,4
"M16467",87.25,7.1,10
"M17240",88.82,8.2,10
"M38081",89.41,5.9,8
"M19439",90.3,6.4,28
"M41274",90.64,6.3,26
"M21812",98.65,7.8,5
"M42682",99.86,9.7,3
