"MARKER1","MARKER2","POSITION"
1053,M34343,0.00
134,M4002,5.62
1272,M40649,10.01
455,M14664,14.72
374,M12512,18.97
1178,M37837,22.19
725,M23134,23.71
431,M13825,24.62
198,M6635,28.96
365,M12129,38.08
1055,M34363,40.17
21,M679,50.63
539,M17048,52.44
233,M7990,55.83
1017,M33218,58.21
352,M11723,59.48
1183,M37953,63.68
61,M1708,64.43
993,M32423,72.69
165,M5226,73.33
319,M10644,81.49
40,M1227,83.67
115,M3438,85.39
660,M20566,86.95
515,M16467,88.69
549,M17240,90.25
1189,M38081,90.83
623,M19439,91.71
1294,M41274,92.06
692,M21812,100.06
1332,M42682,101.27
